load_case,out_oopDisp_mm_n2,out_supReac_kN_n3,out_supReac_kN_n4,out_verDisp_mm_n5,out_oopDisp_mm_n5,out_endBend_kNm_n6
40189_sd775_sl10_pd214_pl9_sv11_bp12_ba740_bp67,199.27,15.88,56.89,220.16,198.77,313.87
40190_sd832_sl12_pd250_pl9_sv8_bp13_ba550_bp78,166.87,15.64,52.45,229.84,176.47,249.47
40191_sd817_sl12_pd277_pl6_sv10_bp14_ba660_bp66,172.25,16.85,49.77,212.13,179.94,253.68
40192_sd692_sl7_pd174_pl10_sv9_bp12_ba760_bp66,201.43,15.86,54.26,238.56,189.47,218.03
40193_sd779_sl12_pd194_pl9_sv11_bp11_ba620_bp49,156.06,18.02,57.67,231.96,191.47,275.33
40194_sd644_sl9_pd259_pl10_sv4_bp13_ba700_bp67,161.53,14.06,49.91,204.17,153.76,145.4
40195_sd748_sl11_pd234_pl11_sv9_bp12_ba800_bp77,186.99,16.97,58.44,257.25,188.8,220.39
40196_sd767_sl12_pd181_pl14_sv6_bp10_ba640_bp43,166.2,15.39,50.24,218.06,152.27,180.22
40197_sd663_sl8_pd300_pl10_sv7_bp12_ba710_bp49,168.55,14.17,51.36,208.71,158.38,158.87
40198_sd685_sl10_pd221_pl13_sv10_bp11_ba610_bp59,197.41,15.19,43.94,215.27,219.85,202.8
40199_sd748_sl10_pd105_pl10_sv7_bp12_ba630_bp47,158.88,14.64,50.51,218.64,161.39,211.12
40200_sd744_sl9_pd306_pl8_sv7_bp11_ba710_bp55,183.32,15.24,52.36,226.51,176.36,177.62
40201_sd695_sl8_pd224_pl12_sv7_bp12_ba770_bp49,179.74,14.42,51.34,216.91,160.48,170.6
40202_sd658_sl10_pd193_pl11_sv11_bp12_ba790_bp54,204.31,17.31,58.19,256.86,193.43,242.51
40203_sd794_sl14_pd202_pl12_sv8_bp11_ba840_bp57,211.7,17.08,58.66,283.01,202.5,248.47
40204_sd946_sl11_pd137_pl7_sv8_bp12_ba730_bp49,213.03,16.62,57.31,270.21,235.43,273.66
40205_sd753_sl10_pd119_pl7_sv3_bp11_ba890_bp59,201.17,15.94,56.18,268.18,176.4,194.61
40206_sd715_sl9_pd209_pl10_sv7_bp13_ba900_bp56,212.69,16.89,59.64,293.14,188.3,236.86
40207_sd795_sl5_pd156_pl6_sv11_bp12_ba910_bp66,289.06,19.81,67.26,349.09,308.93,374.91
40208_sd750_sl14_pd159_pl10_sv8_bp12_ba650_bp81,155.8,14.39,48.68,198.36,164.95,177.04
40209_sd655_sl12_pd187_pl12_sv7_bp13_ba750_bp52,178.13,15.07,53.11,233.89,174.08,178.42
40210_sd626_sl12_pd213_pl10_sv8_bp11_ba670_bp60,163.39,15.24,53.26,241.13,162.38,228.27
40211_sd743_sl14_pd138_pl11_sv9_bp12_ba770_bp67,186.8,15.75,54.11,229.64,182.21,195.52
40212_sd696_sl8_pd192_pl13_sv7_bp14_ba800_bp67,190.04,15.5,54.06,242.01,184.67,195.81
40213_sd661_sl12_pd172_pl10_sv6_bp11_ba670_bp46,161.17,13.66,49.52,203.27,151.4,171.23
40214_sd894_sl11_pd247_pl9_sv11_bp12_ba810_bp55,214.7,18.18,65.91,273.34,219.31,323.96
40215_sd719_sl10_pd228_pl13_sv7_bp14_ba850_bp65,197.98,17.08,59.25,279.93,186.67,221.01
40216_sd706_sl6_pd188_pl13_sv9_bp12_ba770_bp44,221.8,17.47,54.5,246.9,253.13,240.7
40217_sd660_sl7_pd240_pl12_sv5_bp13_ba760_bp59,176.56,14.25,51.41,219.99,162.83,165.61
40218_sd717_sl11_pd195_pl9_sv9_bp13_ba800_bp73,202.37,16.46,55.94,237.28,190.44,210.04
40219_sd615_sl10_pd233_pl11_sv9_bp13_ba860_bp62,224.42,16.92,59.23,269.65,223.9,249.79
40220_sd686_sl9_pd189_pl11_sv8_bp13_ba730_bp53,192.86,15.65,53.7,239.51,227.0,193.23
40221_sd705_sl8_pd183_pl12_sv12_bp12_ba640_bp57,187.93,17.04,55.52,272.31,224.59,330.19
40222_sd807_sl11_pd252_pl8_sv9_bp11_ba690_bp51,177.36,16.41,50.78,218.96,198.55,225.47
40223_sd747_sl8_pd135_pl9_sv9_bp12_ba480_bp67,129.6,12.87,35.31,138.25,135.2,150.7
40224_sd683_sl12_pd189_pl11_sv7_bp13_ba710_bp64,190.61,14.58,50.41,232.23,207.87,176.0
40225_sd794_sl10_pd244_pl8_sv10_bp11_ba590_bp78,165.93,15.66,49.92,186.5,165.61,218.62
40226_sd779_sl10_pd175_pl7_sv9_bp12_ba680_bp77,174.24,15.4,54.2,214.13,174.1,200.38
40227_sd671_sl11_pd224_pl12_sv8_bp12_ba630_bp47,152.79,14.43,49.95,201.36,147.04,216.42
40228_sd751_sl10_pd94_pl10_sv8_bp11_ba870_bp56,203.09,18.18,61.23,325.85,194.51,270.03
40229_sd724_sl8_pd235_pl11_sv9_bp13_ba720_bp51,195.35,14.78,52.2,216.08,210.81,214.6
40230_sd722_sl12_pd146_pl11_sv7_bp13_ba600_bp61,150.59,14.3,44.03,200.11,152.62,149.76
40231_sd794_sl9_pd256_pl12_sv9_bp11_ba570_bp68,201.75,16.01,47.75,247.5,256.9,214.34
