,out_oopDisp_mm_n2,out_oopDisp_mm_n5,out_endBend_kNm_n6
7568,0.19506451916737308,0.1204507695683521,0.09360915664213224
17490,0.20203447301497598,0.11480831321902132,0.12329366752050844
33029,0.25852406517848736,0.22330021002476413,0.2312830323270971
45431,0.140647075445041,0.08690950126955269,0.058444927207289
41776,0.20846284261090706,0.1358264631202784,0.15140559644628906
18262,0.40449279457473863,0.3577160590577098,0.29909860250964626
27290,0.19157954224357163,0.1565311432243503,0.1408352517752343
15011,0.2639163605538287,0.1676906680041378,0.17332447067215725
13522,0.21354902514834698,0.14363186107018588,0.21845919393015797
38043,0.2746303098803805,0.16563744083257576,0.16680717227067868
30046,0.10287746067627393,0.05968464938403184,0.06989072987257225
10127,0.22798342281247055,0.1658255227108868,0.17236795175253725
6632,0.25188377131016293,0.1561236324880098,0.13623099121299573
501,0.2667655646604502,0.19091877997554935,0.28919295742680196
34400,0.2174578506169351,0.15328673082348515,0.20994779676404793
12711,0.18500988979937835,0.10020062067019841,0.11337181025258586
42369,0.26182066497127254,0.16587254318046457,0.201712006744269
844,0.19906753320146933,0.10620356728629199,0.13404234622742453
31016,0.21465574079306773,0.14505814864737782,0.24190201355338678
19812,0.20478948855608928,0.13187674367574684,0.15137317207613246
23476,0.3044409908637091,0.21649791542584873,0.3229305145747544
6893,0.41172176697748886,0.2996771261088994,0.28899841120586234
39236,0.3374069887915606,0.2569982132221561,0.33294964495314683
1304,0.20438918715267965,0.16322372339425095,0.13345870756460562
17695,0.2382970707356127,0.14070091846650573,0.16176518271132587
17545,0.24818687011396814,0.1311087426726435,0.12018092798547395
2014,0.24086370914570973,0.16123319018212595,0.262653610453617
43309,0.2783272110765753,0.17117018275289175,0.19879381343017413
18345,0.2082509183385137,0.13722140371775182,0.09873220712687658
42034,0.16245172836017704,0.09222281433183913,0.08219577834700564
16793,0.21423189224828107,0.15314566941475188,0.14490451022988884
40851,0.24569087312800228,0.14914892950064262,0.16818520800233458
656,0.17439012903833476,0.10806871257954298,0.1225479070069064
34850,0.2417349533766601,0.1274411460455785,0.10552511267468631
18233,0.30368748233964393,0.18154603303971661,0.15636652508025037
42451,0.37265705943298477,0.31423779818814457,0.25746571122855944
1970,0.19329848356409532,0.1670637284097677,0.4062611458772415
49756,0.18503343694075539,0.12071721889595938,0.12431503518044165
8702,0.30128567391918615,0.19844205510799034,0.22757044194416523
13206,0.2741829141942168,0.16424250023510234,0.2842968775331539
19314,0.12084392954695303,0.08614150026644932,0.11079407282513537
5748,0.22042479043044175,0.15048117613867906,0.1738270484095847
38780,0.21321936516906845,0.16711074887934546,0.24554975519600533
16444,0.2700386173118583,0.1722046330836024,0.23556304918776957
30403,0.19209757935386643,0.15861571737563085,0.12901656885315008
5912,0.3492747480455872,0.26972508698786873,0.2779092766123018
4895,0.3004850711123669,0.19026049340146078,0.20347913491780426
5266,0.20396533860789304,0.14864737782514653,0.14795240102461013
32453,0.27884524818687006,0.21399015704836838,0.27379138160241245
5898,0.25572195535461995,0.16878781229428547,0.274407444635388
8361,0.23770839220118675,0.17370928811009062,0.1823222333906164
41200,0.21383159084487144,0.15312999592489263,0.13991115722577094
32803,0.31774512574173497,0.2107614181373625,0.24139943581595932
36359,0.3237967410756334,0.17464969750164572,0.36107778606400576
8094,0.25480361684091546,0.19115388232343816,0.26461528484809194
33000,0.31882829424507864,0.2139274630889314,0.3325767646963459
8534,0.2233681831025713,0.19750164571643525,0.12311533348464712
17780,0.3128237731939343,0.21168615403905833,0.32335203138679036
29792,0.18411509842705095,0.14695464092034732,0.2196426834408742
5183,0.260219459357634,0.13734679163662583,0.11747349307739699
42676,0.22894885560892905,0.15828657408858654,0.1523134788106741
40897,0.260855232174814,0.1630199680260807,0.20612172108556795
7767,0.1901431666195724,0.1371587097583148,0.1921630297331475
10871,0.21392577941037957,0.2044136547443654,0.18138192665607475
25415,0.2878873504756523,0.19268988432964484,0.34120164715800405
12046,0.2231798059715551,0.1544465690730698,0.3173535229078175
37977,0.2677780917396628,0.1641798062756653,0.22917544826691746
5971,0.18251389281341243,0.11415002664493276,0.13332901008397915
36436,0.28809927474804553,0.17875615184476978,0.2314451541778801
5860,0.24696241876236227,0.1754176985047491,0.20732142278136254
13243,0.19106150513327683,0.13115576314222124,0.1895366557504621
39307,0.20161062447018932,0.14204883859440143,0.31437048085340946
12161,0.3316143920128096,0.20135732422181124,0.20646217697221234
45600,0.4714608646510312,0.4073853484216796,0.416183003145164
37979,0.5848638975228406,0.5440581799943576,0.4945527058136897
33070,0.201422247339173,0.10714397667784709,0.08866444019324929
39779,0.27175755863238205,0.2041158584370396,0.2627346713790085
36932,0.18063012150324945,0.12979216952446632,0.3065562076456666
29563,0.21117076386926623,0.13179837622645058,0.20886158036380145
10204,0.26236224922294427,0.1650105012382057,0.18872604649654687
10262,0.24627955166242818,0.1537255885395442,0.3462922732725917
28575,0.3086088348874447,0.3228895645904517,0.535569534061801
24873,0.298577752660827,0.19305037459640767,0.18903407801303465
39782,0.2087689554488085,0.1572364502680167,0.2146006938815214
27875,0.22452199303004614,0.16305131500579917,0.19594046885639252
13430,0.15105491193369122,0.09595310491834114,0.11335559806750756
15431,0.2601017236507488,0.1692893639697815,0.2787036736811388
49780,0.2441132146557408,0.15519889658631392,0.2457118770467884
38470,0.2937976829612885,0.21043227485031818,0.19916669368697518
12250,0.23337571818781197,0.12217485345286982,0.1031257092830972
21667,0.17556748610718662,0.10509074950628508,0.08845368178723129
16393,0.34578977112178577,0.22032224695150626,0.1692065756622678
34734,0.2561222567580296,0.16358421366101378,0.17360007781848838
31844,0.2291136855985683,0.14349079966145262,0.16197594111734384
1175,0.2693086559291702,0.21524403623710858,0.28171914010570354
37943,0.34030328718093616,0.2595686655590734,0.25772510618981237
2168,0.24999999999999997,0.13719005673803325,0.1642294348432282
26487,0.25129509277573703,0.21754803924641863,0.47422262572549534
38610,0.2323631911085994,0.16283188614776967,0.1390194870464642
3210,0.4799142884053875,0.3372778282812451,0.3054375668752636
40059,0.09590750682867102,0.062270775210808454,0.063389643656172
36282,0.28466139210699815,0.2251026613585781,0.3517233552738238
39258,0.24901102006216444,0.16367825460016927,0.290522356603223
15700,0.3117170575492135,0.2177047741450111,0.3002820920203626
5795,0.17224733917302434,0.1059684649384032,0.11188028922538182
22474,0.19466421776396345,0.10929124478856464,0.11333938588242928
39959,0.24199397193180747,0.14593586407949594,0.16367822055056583
42229,0.22642931148158615,0.15319268988432966,0.1512758989656626
41220,0.30220401243289063,0.19275257828908188,0.2582763204824746
9903,0.26879061881887534,0.1814206451208426,0.21379008462760615
40202,0.3260337195064519,0.20157675307984074,0.2677280243831264
18290,0.3136950174248846,0.25094824613648475,0.22701922765150293
35700,0.24825751153809925,0.1555593868530767,0.2921273629259752
26437,0.17660356032777622,0.1280367386602301,0.24686294218734803
13746,0.19325138928134125,0.14131218457101663,0.2821244447326612
39145,0.1970895733257982,0.11570170214099873,0.14835770565156778
25163,0.278091739662805,0.17211059214444685,0.17710190979540227
49738,0.24484317603842895,0.14046581611861697,0.13326416134366595
21823,0.39820570782706977,0.27204476348703804,0.3845854544275479
42246,0.32236036545163416,0.2618256480988057,0.22808923186667104
2018,0.2569935009889799,0.16156233346917026,0.1871696767290296
42263,0.21814071771686913,0.14063822450706875,0.12661716546156096
40833,0.19139116511255536,0.13844393592677345,0.1548912162381246
40810,0.1909673165677687,0.10012225322090218,0.0800557699166694
4300,0.20883959687293965,0.1383028745180402,0.14498557115528035
20049,0.23629556371856456,0.157753675433372,0.2121202295645407
31438,0.30512385796364316,0.1847277514811448,0.2430530786939464
29001,0.25939530940943767,0.18422619980564875,0.2029603449952985
3227,0.29949609117453146,0.1809661139149243,0.22669498394993678
39081,0.2645521333710088,0.16349017272185823,0.18212768716967673
33943,0.2645050390882546,0.18975894172596475,0.29376479361888397
45405,0.28760478477912776,0.1788031723143475,0.21520054472941866
5751,0.20022134312894416,0.16601360458919784,0.25683343601050557
22052,0.19628897051897895,0.12471395881006866,0.1314321844298175
41993,0.378567391918621,0.328500673960064,0.24486884342271656
23657,0.2533907883582933,0.20511896178803174,0.21534645439512343
27524,0.19866723179805976,0.13671985204225573,0.08723776790635843
30993,0.21766977488932845,0.16546503244412403,0.18207905061444182
29493,0.25499199397193184,0.1549637942384251,0.17966343503777446
13200,0.2320570782706979,0.17007303846274413,0.18293829642359197
823,0.29683526419892625,0.18126391022225008,0.2596057196588957
14595,0.19824338325327304,0.13943136578790633,0.13942479167342178
33680,0.26850805312235093,0.14706435534936207,0.1639214033267404
47320,0.22609965150230757,0.1505595435879753,0.1193703187315587
21004,0.19221531506075165,0.11701827528917591,0.19067150870594343
25322,0.24536121314872375,0.17834864110842924,0.18029571025582833
8566,0.25051803711029474,0.1948684994200809,0.16110048312311534
19959,0.31270603748704906,0.19428858029528856,0.30892318666709906
24352,0.23525948949797496,0.13562270775210805,0.14200252910087222
32168,0.18133653574456063,0.17593492367010438,0.25026750105379203
13837,0.25984270509560137,0.18182815585718315,0.2146169060665997
15095,0.2709098615428087,0.17171875489796556,0.16693686975130514
39046,0.31317698031458985,0.22862919657690983,0.26312376382088787
24448,0.19254497504003013,0.16222062004325882,0.15195681073895143
37556,0.18442121126495245,0.1304504560985549,0.23160727602866318
12793,0.13471319581802768,0.08344566001065798,0.10270419247106127
19616,0.23424696241876233,0.17154634650951384,0.22345254693427583
10601,0.218658754827164,0.14055985705777246,0.17940404007652158
9450,0.291537157389093,0.22840976771888027,0.43719399500664713
32613,0.22753602712630686,0.16764364753456007,0.19470834279044133
28878,0.29196100593387964,0.19524466317670297,0.27927110015887946
46983,0.19796081755674863,0.12344440613146926,0.23496319833987225
10414,0.7031176415183196,0.674728064950942,0.4749359618689407
28731,0.248704907224263,0.1738816964985424,0.1966375928147596
41184,0.2584769708957332,0.16601360458919784,0.16601277520184174
35393,0.17264764057643403,0.11499639509733237,0.18629421873480115
15302,0.25273146839973626,0.17366226764051285,0.21986965403197042
43881,0.19339267212960345,0.170935080405003,0.2029441328102202
36877,0.28482622209663744,0.15656249020406887,0.1638241302162706
33138,0.3508995008006027,0.24588570891194633,0.2742777471547615
49761,0.21190072525195439,0.1343374815836494,0.19704289744171724
15684,0.1544221531506075,0.0921287733926836,0.15771213644174967
23780,0.17172930206272954,0.09324159117269051,0.12418533769981524
23557,0.292785155882076,0.2526723300210025,0.5319055802341041
35942,0.2634925120090421,0.13535625842450083,0.1269576213482053
4997,0.21194781953470845,0.13392997084730887,0.21581660776239422
9658,0.33747763021569177,0.21844142816839596,0.4147076943030382
27008,0.3269049637374023,0.2308861791166421,0.24995946953730427
30068,0.23620137515305642,0.16885050625372244,0.31359229596965077
41791,0.11528680418197232,0.0725525845584778,0.07553257027982233
28852,0.22209663746821137,0.18402244443747845,0.2991634512499596
21011,0.43270226994442873,0.31536628945801076,0.34403877954670736
47465,0.2743712913252331,0.1828626061878938,0.23741123828669633
26632,0.2786097767730997,0.15049684962853827,0.16233260918906653
44708,0.43712913252331165,0.3782796777530485,0.32408157971531415
18132,0.29266742017519076,0.20497790037929842,0.26741999286663864
36444,0.21620985212395213,0.12682987994106767,0.12506079569404369
35464,0.31995855703117637,0.22836274724930256,0.2367789630686424
30611,0.34701422247339175,0.25403592363875743,0.3452222690574236
16928,0.2784684939248375,0.1641327858060876,0.33570571641645863
27267,0.23083262691909204,0.1434594526817341,0.14070555429460788
45469,0.2803993595177545,0.18605999811918122,0.23987549041859865
17382,0.32951869643025333,0.24228080624431836,0.25863298855419736
286,0.14486201375153054,0.10054543744710195,0.10038585000486369
46568,0.27943392672129597,0.21168615403905833,0.34292013877630434
4636,0.29146651596496187,0.23304912071721895,0.24957037709542498
23706,0.24472544033154373,0.14364753456004514,0.19506501086216407
36312,0.2566638410097014,0.1951192752578289,0.23953503453195427
10378,0.2842846378449656,0.29127613554434034,0.3786355825038099
22313,0.2759489497974946,0.1786777843954735,0.24503096527349963
42664,0.18816520674390128,0.1685527099463967,0.22526831166304598
44440,0.430347555806725,0.36922040061440076,0.27646639214033275
540,0.3174154657624564,0.2083947211686154,0.2687656042281379
8999,0.32991899783366296,0.20591830977085362,0.18117116825005677
11772,0.15432796458509937,0.08584370395912352,0.09615446969942609
21886,0.41767919374587925,0.3682799912228457,0.4745630816121398
17339,0.17031647358010735,0.09245791667972791,0.0977594760221783
10563,0.23737873222190828,0.17247108241120968,0.284880516195973
2843,0.22117829895450689,0.1344785429923827,0.1846243636717357
32127,0.2357304323255157,0.12077991285539638,0.14269965305923935
31853,0.23629556371856456,0.15886649321337892,0.16588307772121533
33177,0.23565979090138453,0.12700228832951943,0.12788171589766875
1242,0.22209663746821137,0.14466631140089653,0.1507408968580786
25495,0.28096449091080344,0.18596595718002568,0.21709737038358037
27389,0.3206414241311104,0.20736027083790476,0.2825297493596187
27511,0.2399218234906282,0.1680198112911821,0.19970169579455924
20364,0.235942356597909,0.13292686749631671,0.33024221004506993
24309,0.28642742771027596,0.1661546659979311,0.21142310560617364
5517,0.28063483093152486,0.2127519513494875,0.2815732304399987
28829,0.38692662710746906,0.30488072474217115,0.4115301060276906
40552,0.3046058208533484,0.24934955017084104,0.32489218896922933
34147,0.3604596401996797,0.2764960346070656,0.2697383353328362
37845,0.20234058585287742,0.1448073728096298,0.19008787004312447
2828,0.25673448243383257,0.2224695150622238,0.30250316137609035
28870,0.15380992747480457,0.10300617535500456,0.08897247170973707
22154,0.2839785250070641,0.22616845866900726,0.18198177750397201
41933,0.3352171046434962,0.25560327262468263,0.2671605979053857
44485,0.3155787887350475,0.18964922729694994,0.24007003663953833
27090,0.29758877272299145,0.20301871414689193,0.30007133361434457
29837,0.2507535085240652,0.16712642236920477,0.16591550209137187
45204,0.26092587359894515,0.17936741794928063,0.21249310982134176
27011,0.1809126871997739,0.1323782953512429,0.19427061379332708
14375,0.24684468305547705,0.1773141907777186,0.2704678836613599
1236,0.24538476029010073,0.22554151907463715,0.3938101877371033
8360,0.253838184044457,0.16924234350020378,0.28565870107973157
4788,0.2268060657436187,0.16319237641453244,0.14072176647968618
49164,0.19195629650560417,0.14389831039779316,0.22286890827145686
18331,0.2466798530658378,0.1433340647628601,0.1328750689017866
40958,0.13242912310445512,0.11867966521425663,0.19602152978178403
10869,0.2627390034849769,0.19234506755274133,0.27657987743588086
48834,0.27069793727041536,0.19281527224851885,0.32698356084433067
21000,0.2037769614768767,0.13344409266167206,0.15137317207613246
24680,0.2810351323349345,0.16816087269991536,0.3424986219642684
17,0.28376660073467075,0.20204695777561832,0.20595959923478493
23878,0.2831308279174908,0.1887401648851133,0.1860186115884699
